client_ip,mode,N,threads,ratio,ops,throughput,p50_get,p95_get,p99_get,p50_put,p95_put,p99_put
172.31.47.43,block,5,1,0.9,3005,150.25,5056,12674,21651,10314,21661,35567
172.31.34.114,block,3,2,0.1,4525,226.25,4123,11263,15964,8102,17147,24449
172.31.47.43,abd,1,16,0.9,39546,1977.3,7366,13296,23996,7395,13335,24503
172.31.47.43,abd,3,2,0.1,4348,217.4,7403,20130,31307,7285,19922,37599
172.31.36.111,abd,3,16,0.9,10292,514.6,30300,43664,54553,30284,43982,51661
172.31.36.111,block,3,2,0.1,4984,249.2,3569,7768,11449,7399,15715,24267
172.31.36.111,abd,5,8,0.1,4868,243.4,32545,44501,57934,32290,44560,54180
172.31.36.111,abd,5,4,0.9,4210,210.5,18464,26474,33894,18807,26265,30827
172.31.34.114,abd,3,8,0.1,9158,457.9,16365,26459,35298,16548,26254,36454
172.31.36.111,block,1,1,0.9,8925,446.25,1737,3840,7643,3569,7664,12731
172.31.34.114,abd,3,4,0.9,7487,374.35,10100,15759,22889,10263,17432,27068
172.31.36.111,abd,1,4,0.9,22946,1147.3,2944,6594,13455,3019,6825,14611
172.31.36.111,block,1,16,0.1,40579,2028.95,3729,7285,12759,7699,13324,21325
172.31.36.111,abd,5,16,0.1,4160,208.0,67585,156188,295321,68073,145847,247647
172.31.34.114,block,1,1,0.9,8423,421.15,1814,4262,8612,3743,7694,12780
172.31.36.111,abd,1,8,0.1,36909,1845.45,4081,6436,10157,4066,6475,10136
172.31.34.114,block,1,16,0.9,72030,3601.5,3645,7239,10547,7564,12927,18965
172.31.34.114,abd,5,16,0.9,4833,241.65,65034,89371,104148,64943,91061,106542
172.31.47.43,block,5,4,0.1,4857,242.85,8101,12248,19218,16660,25932,33780
172.31.47.43,block,3,8,0.9,20076,1003.8,6743,11962,17492,13872,22109,29457
172.31.36.111,abd,5,1,0.1,1948,97.4,9180,17680,24625,9293,16681,26051
172.31.47.43,block,5,16,0.9,9554,477.7,29593,46278,56330,60115,81791,95372
172.31.36.111,block,1,4,0.1,22827,1141.35,1476,3832,7791,3125,7238,14538
172.31.34.114,abd,3,1,0.1,2645,132.25,6406,13190,21956,6513,14342,22513
172.31.36.111,abd,1,1,0.1,3327,166.35,4269,13961,20093,4410,15500,22019
172.31.34.114,block,1,4,0.1,20772,1038.6,1610,4477,9107,3358,8640,16557
172.31.34.114,abd,3,16,0.1,9269,463.45,31154,51686,153327,31328,48518,126080
172.31.34.114,block,5,8,0.1,4522,226.1,16999,31992,58005,33733,53974,148357
172.31.47.43,block,1,16,0.9,76549,3827.45,3465,6559,9954,7170,11794,17661
172.31.36.111,abd,5,4,0.1,4191,209.55,18416,27047,37187,18536,26486,35847
172.31.34.114,block,3,4,0.9,12179,608.95,4885,11680,29779,10062,22593,51467
172.31.36.111,abd,5,8,0.9,4316,215.8,33348,56652,136445,32943,56154,123732
172.31.47.43,abd,1,16,0.1,32088,1604.4,7765,24715,44120,7815,24014,42808
172.31.36.111,block,3,4,0.9,12318,615.9,4831,11311,27625,9926,26619,62211
172.31.47.43,abd,3,2,0.9,5107,255.35,6746,14257,25785,6920,15906,27786
172.31.36.111,abd,3,16,0.1,9637,481.85,29990,46208,102092,30530,48876,111558
172.31.36.111,block,5,8,0.1,4569,228.45,16423,28573,50964,33371,56946,119424
172.31.36.111,abd,1,8,0.9,28184,1409.2,4274,14816,33191,4314,15312,34474
172.31.36.111,abd,1,4,0.1,24467,1223.35,2890,5329,10185,2875,5573,10589
172.31.36.111,abd,5,16,0.9,4925,246.25,64144,87898,101343,63379,86206,99169
172.31.34.114,block,5,16,0.9,8835,441.75,32108,48721,60360,65300,88193,99716
172.31.47.43,block,1,8,0.1,31227,1561.35,1949,7175,17790,4014,14326,31498
172.31.34.114,abd,3,4,0.1,6429,321.45,10932,24372,30213,10918,23247,33149
172.31.34.114,abd,3,8,0.9,8543,427.15,16248,27708,99033,16236,28404,117234
172.31.36.111,abd,5,1,0.9,1788,89.4,9227,19374,57033,9216,19962,61900
172.31.34.114,block,3,1,0.1,2222,111.1,3178,14095,21914,6529,25012,55882
172.31.47.43,block,5,2,0.9,5497,274.85,5936,11688,19053,12007,21009,32715
172.31.36.111,block,5,16,0.1,5230,261.5,32320,49610,62351,63733,85182,98134
172.31.36.111,block,3,1,0.1,2412,120.6,2968,10714,25608,6060,21293,57802
172.31.34.114,abd,5,16,0.1,4245,212.25,66101,142771,222780,66997,155380,234041
172.31.34.114,abd,3,16,0.9,10057,502.85,31037,44285,55444,31065,44483,56835
172.31.36.111,block,1,2,0.9,19652,982.6,1620,3531,7862,3341,7293,12639
172.31.36.111,abd,1,1,0.9,2932,146.6,4566,17839,28882,4480,20969,34777
172.31.34.114,abd,3,1,0.9,2684,134.2,6180,14018,30040,6276,12984,33748
172.31.34.114,block,1,2,0.9,17161,858.05,1830,4336,8312,3708,8674,14202
172.31.34.114,abd,3,2,0.9,4350,217.5,7689,17233,31061,7895,20144,35315
172.31.36.111,block,1,8,0.9,65240,3262.0,1989,3737,7198,4108,7129,13015
172.31.34.114,block,1,8,0.9,61930,3096.5,2089,4044,7648,4264,7396,12872
172.31.36.111,abd,1,2,0.9,7960,398.0,3825,12974,22452,3858,11791,18531
172.31.47.43,block,3,4,0.1,8566,428.3,4311,8108,14323,9067,15895,24655
172.31.47.43,block,5,8,0.9,9767,488.35,14198,23040,29825,28775,42878,51555
172.31.47.43,abd,3,4,0.1,7373,368.65,9550,19922,29355,9581,19941,28551
172.31.47.43,block,3,16,0.1,12524,626.2,12941,21351,29035,26199,38882,46234
172.31.47.43,abd,3,8,0.9,10341,517.05,13746,26651,53913,13643,25852,52149
172.31.36.111,abd,5,2,0.9,2971,148.55,12196,22414,36419,12022,23233,43835
172.31.34.114,abd,1,16,0.9,36376,1818.8,8083,14647,24069,8122,14576,24364
172.31.36.111,abd,1,16,0.1,29508,1475.4,8207,29176,48745,8208,27537,50617
172.31.47.43,abd,3,16,0.1,11161,558.05,27063,44198,78479,26763,43468,69615
172.31.47.43,block,1,2,0.1,10196,509.8,1766,4017,7841,3590,8775,15153
172.31.47.43,abd,3,1,0.9,2970,148.5,5715,11984,26864,5765,13304,29090
172.31.34.114,block,5,2,0.1,3093,154.65,6122,11510,19121,12532,22057,33357
172.31.47.43,block,3,1,0.9,5113,255.65,2966,7010,12283,6144,13829,19178
172.31.47.43,abd,5,16,0.9,5325,266.25,59531,85049,98828,59050,86916,97536
172.31.36.111,block,5,2,0.1,3155,157.75,6021,9445,18731,12282,21664,32494
172.31.36.111,abd,1,2,0.1,8546,427.3,3435,11691,24576,3465,11402,26076
172.31.47.43,block,1,1,0.1,3731,186.55,2028,7956,13316,4070,13907,27724
172.31.36.111,block,3,16,0.9,19735,986.75,14331,22395,28745,28753,40568,48502
172.31.34.114,abd,3,2,0.1,3774,188.7,8070,23049,38385,7998,23057,58097
172.31.47.43,block,3,2,0.9,9735,486.75,3326,6507,10778,6801,12473,16357
172.31.34.114,block,5,1,0.1,1628,81.4,4723,9522,24904,9561,26619,81315
172.31.34.114,abd,1,16,0.1,29581,1479.05,8385,26150,56150,8292,26002,53594
172.31.36.111,abd,5,2,0.1,2682,134.1,12185,35681,101688,12062,25629,84370
172.31.47.43,abd,3,8,0.1,10465,523.25,14601,23278,28439,14593,23327,29981
172.31.36.111,block,5,1,0.1,1573,78.65,4630,14189,35849,9717,26781,91506
172.31.47.43,abd,3,4,0.9,8666,433.3,8792,13541,19096,8832,13430,19755
172.31.36.111,abd,1,16,0.9,36840,1842.0,7989,14133,24717,7997,13914,23791
172.31.47.43,abd,3,16,0.9,11758,587.9,26426,39158,47999,26033,39073,49871
172.31.47.43,block,1,4,0.9,25589,1279.45,1633,9645,18140,3416,18661,35781
172.31.34.114,block,3,8,0.1,7993,399.65,8848,20806,42061,17972,40908,83861
172.31.34.114,block,5,4,0.9,5594,279.7,10730,27644,56040,21397,49283,85211
172.31.34.114,block,3,16,0.1,10780,539.0,15095,24362,29591,30718,43387,50759
172.31.47.43,abd,5,16,0.1,5013,250.65,56605,95251,172056,58988,108448,190742
172.31.36.111,block,5,4,0.9,6549,327.45,9271,23349,46000,19045,41523,76224
172.31.47.43,abd,3,1,0.1,2991,149.55,5865,10608,21519,5861,11985,19044
172.31.36.111,block,3,8,0.1,9330,466.5,7707,19876,36667,15665,33558,75158
172.31.47.43,block,1,4,0.1,25244,1262.2,1322,3301,7509,2794,6223,13079
172.31.47.43,abd,1,1,0.9,2985,149.25,4593,16675,26192,4866,18210,26819
172.31.36.111,block,3,8,0.9,17856,892.8,7679,13207,18776,15666,24708,33377
172.31.36.111,block,5,4,0.1,4308,215.4,9131,14468,38374,18708,28050,38156
172.31.34.114,block,5,4,0.1,4333,216.65,9367,14770,25250,18723,27370,37053
172.31.34.114,block,3,8,0.9,17211,860.55,7907,13846,19830,16253,24765,32614
172.31.34.114,block,3,16,0.9,17554,877.7,16034,25092,32376,32290,45881,54750
172.31.47.43,abd,5,1,0.9,1871,93.55,8900,19194,54058,8686,17355,22898
172.31.36.111,block,3,16,0.1,11002,550.1,14890,23974,30358,30197,42222,49880
172.31.47.43,block,1,1,0.9,8852,442.6,1762,3892,7885,3611,7139,12972
172.31.47.43,abd,1,4,0.1,26395,1319.75,2668,4906,9028,2662,4968,9540
172.31.34.114,abd,5,2,0.9,2914,145.7,12442,22474,35331,12170,25380,40008
172.31.47.43,abd,1,8,0.9,30974,1548.7,4012,12708,26433,4035,13697,26385
172.31.36.111,abd,3,2,0.9,4852,242.6,7100,15427,27502,7074,15135,28262
172.31.36.111,block,5,1,0.9,2868,143.4,5215,13383,20628,10418,27454,38844
172.31.47.43,abd,5,8,0.9,5019,250.95,29214,52007,93430,29206,49088,82593
172.31.34.114,abd,1,2,0.9,7392,369.6,4084,13559,22806,3985,14336,23528
172.31.47.43,block,3,2,0.1,5379,268.95,3364,6629,11544,6968,13715,21021
172.31.47.43,abd,5,4,0.1,4633,231.65,16468,24585,31742,16666,25098,33543
172.31.34.114,block,5,1,0.9,2739,136.95,5334,13980,22763,11214,27446,48592
172.31.47.43,block,1,2,0.9,20136,1006.8,1632,3315,7404,3307,6520,12449
172.31.47.43,abd,1,1,0.1,3372,168.6,4319,15113,21056,4275,15028,21956
172.31.47.43,abd,5,1,0.1,2001,100.05,9173,17579,23434,9112,16324,24153
172.31.36.111,block,5,2,0.9,5203,260.15,6210,12411,19653,12898,22385,31236
172.31.34.114,block,5,2,0.9,5028,251.4,6437,12845,21539,13001,22945,29377
172.31.47.43,block,3,1,0.1,2469,123.45,2927,13801,29859,5971,20446,53509
172.31.47.43,abd,1,8,0.1,40026,2001.3,3768,5861,9351,3769,5816,8911
172.31.34.114,abd,5,2,0.1,2626,131.3,11977,26567,87737,12277,27558,90299
172.31.47.43,abd,1,4,0.9,25062,1253.1,2672,5794,12901,2644,5908,12801
172.31.34.114,block,1,8,0.1,26510,1325.5,2183,8450,22329,4491,18585,40664
172.31.36.111,block,1,8,0.1,28407,1420.35,2108,6701,16815,4303,15886,37742
172.31.47.43,abd,5,4,0.9,4715,235.75,16269,24810,33384,16300,24536,34626
172.31.34.114,abd,1,2,0.1,7836,391.8,3835,11761,21734,3751,12363,26638
172.31.47.43,abd,5,8,0.1,5647,282.35,27031,40967,46040,27280,40231,49648
172.31.47.43,block,3,16,0.9,21681,1084.05,13009,20880,26842,26200,38514,45502
172.31.36.111,abd,3,2,0.1,4081,204.05,7318,18007,38039,7476,22222,53135
172.31.47.43,block,5,8,0.1,5186,259.3,14925,27940,46362,29883,51181,98751
172.31.47.43,block,3,4,0.9,13710,685.5,4459,10331,20616,9072,18890,39474
172.31.36.111,block,3,1,0.9,5025,251.25,3022,7717,13348,6217,14077,23209
172.31.36.111,abd,3,1,0.1,2925,146.25,6049,13762,19953,5945,12106,19173
172.31.36.111,block,5,16,0.9,8839,441.95,31779,49606,60900,65396,88156,102548
172.31.34.114,block,3,1,0.9,4781,239.05,3150,8085,13025,6430,13355,23255
172.31.47.43,block,5,2,0.1,3358,167.9,5639,9350,13099,11646,19898,32493
172.31.34.114,abd,1,1,0.1,3269,163.45,4415,14108,22183,4522,14939,22687
172.31.34.114,block,1,2,0.1,9159,457.95,1891,5280,10310,3897,10135,16204
172.31.36.111,block,1,2,0.1,9741,487.05,1802,5054,9412,3687,9520,15463
172.31.34.114,abd,5,1,0.1,1920,96.0,9598,20638,30127,9311,17329,26062
172.31.36.111,abd,3,4,0.9,8040,402.0,9512,14701,21496,9561,14037,21962
172.31.36.111,block,5,8,0.9,8587,429.35,16174,25046,32671,32991,46052,56290
172.31.36.111,abd,3,8,0.1,9787,489.35,15675,23893,33760,15657,24689,32471
172.31.36.111,block,3,4,0.1,8075,403.75,4801,8752,14549,9575,17196,26705
172.31.34.114,abd,1,8,0.1,36481,1824.05,4124,6654,10722,4105,6595,10722
172.31.47.43,abd,5,2,0.1,2897,144.85,11591,24049,51023,11447,23343,78551
172.31.34.114,block,3,4,0.1,6983,349.15,5505,10949,15983,11134,19489,28396
172.31.34.114,abd,1,4,0.9,21811,1090.55,3112,7153,13630,3053,6668,12630
172.31.47.43,block,1,16,0.1,44101,2205.05,3487,6717,12759,7096,11701,20687
172.31.34.114,block,5,8,0.9,8670,433.5,16147,25098,33716,32998,45195,54931
172.31.47.43,block,1,8,0.9,68797,3439.85,1906,3481,6451,3906,6544,11289
172.31.34.114,abd,5,4,0.9,4186,209.3,18400,27139,37231,18620,27006,34705
172.31.34.114,block,5,16,0.1,5108,255.4,32136,51414,62509,64823,87275,100053
172.31.47.43,abd,1,2,0.1,9051,452.55,3475,11325,36392,3419,10357,22956
172.31.34.114,abd,5,8,0.1,4789,239.45,32375,43499,52228,32902,45446,53397
172.31.34.114,abd,1,1,0.9,2766,138.3,5042,18624,28194,4942,19797,33092
172.31.47.43,block,3,8,0.1,10482,524.1,6771,15121,30217,13955,30293,55507
172.31.47.43,block,5,4,0.9,7659,382.95,8121,20089,31346,16228,40120,54872
172.31.36.111,abd,3,1,0.9,2804,140.2,5979,13260,29716,5978,12547,19276
172.31.34.114,block,1,16,0.1,37699,1884.95,3974,8090,14159,8238,14519,24531
172.31.34.114,block,1,4,0.9,22824,1141.2,1877,10679,20481,3949,19928,36572
172.31.34.114,abd,5,1,0.9,1733,86.65,9455,20156,56591,9448,18729,50592
172.31.36.111,block,1,4,0.9,23678,1183.9,1789,10361,19672,3711,19245,37292
172.31.47.43,block,5,16,0.1,5505,275.25,29871,43461,51568,60489,84459,96087
172.31.34.114,abd,1,4,0.1,23130,1156.5,2999,5849,12267,3025,6131,11245
172.31.47.43,abd,5,2,0.9,3192,159.6,11422,21340,32304,11156,19738,31264
172.31.36.111,block,3,2,0.9,9262,463.1,3478,6910,11996,7067,13263,21774
172.31.34.114,abd,1,8,0.9,27540,1377.0,4407,15115,31139,4412,14410,29730
